labels,,1,10111,10129985,1014,102175,10219774,1029,1066,107461,107738,107812,1088,109,10917,111,111299,1123,11361,1145,115244,11673055,1176,11862129,1196,122356,123831,126041,12665,126894,128145,132680,134,134508,150914,151023,158980,161166,16133137,164642,165527,1670,168379,1826,190,196,2148,227939,22833596,232,239,24415,247,2519,25200879,259321,27476,3032311,305,3080590,322640,333293,33741,3676,3744,3845,4091,4099799,4247235,439176,439197,439258,439378,439498,439829,440103,440120,441447,442106,500,5202,5233914,5255,5284627,53481617,53481628,5429,557,5570,5699,5862,588,5961,5962,6057,60961,6106,611,6137,6140,6262,6274,6287,6288,6305,6306,6426851,6426901,64956,65095,65254,673,67427,67678,68374,69698,69961,7015683,7017195,7028,70630,71464488,736715,7408076,74706,750,754,75810,854019,9085,92258,92865,92919,93072,93176,936,96215,97417,97856,9815514,98280,9903482,99715
Ulcerative Colitis,,285488928.0,,1275806.0,2523084.0000,,,487661.0000,460928.0,,6426760.0,4712584.0,,557903.0000,1227454720.0,445229.0000,499369.0,208507264.0,3422206.0,24675880.0,166236320.0000,10850371.0,335771392.0,6291109.0000,,1014715.0,57648972.0,205294.0000,172468112.0,,308726.0000,121737.0000,22707444.0,63978628.0,47213808.0,1641520.0,4638783.0,14801652.0,284782.0000,,9107463.0,1199687.0,1581097.0,158102.0000,960707.0,2490504.0000,,,276210.0000,639496384.0,,5759535.0000,499291520.0,10693741.0000,,931617.0000,2658940.0,2921590.0,221309856.0,,351166.0000,2042670.0,,186957888.0000,284965.0000,1076350.0,,758986.0,13680489.0000,143243.0000,1578657.0,,204453.0000,,4493143.0,3675871.0000,13785318.0,,9472985.0,270348.0000,3100647.0000,,,,4826265.0000,,1446419.0000,7123395.0000,6280933.0,145352.0000,2149253.0,320351552.0,2810441216.0,438008032.0,265740400.0,254444.0000,589127744.0,230395072.0,346335168.0,975777408.0,202341568.0,565672320.0,859710208.0,411466432.0,425621280.0,509436832.0,3243178.0,1957229.0,18320798.0,371472.0000,853725.0,31863900.0000,786442.0000,57853872.0,,2600645.0000,926304.0000,,,,545319.0000,746615.0,5763610.0,204955.0000,218248.0000,190505088.0000,489521.0,990891.0000,,30376274.0,1726239.0,,331964.0000,490842.0000,1447188.0,7975766.0000,,,,,,887150.0,876596.0000
healthy,,547067712.0,155508.0000,803352.0,1883468.0000,243793.0000,,978078.0000,1407072.0,228646.0000,27595780.0,3116956.0,2303875.0000,383518.0000,2336422912.0,,1109212.0,219104192.0,6493049.0,30901944.0,6253530.0000,17471422.0,317658304.0,11999880.0000,1617670.0000,2673132.0,66603864.0,931696.0000,192097408.0,,1874821.0000,,41884704.0,101703352.0,43875232.0,2582121.0,4343131.0,40080876.0,316924.0000,,5222296.0,2450961.0,6654861.0,363565.0000,2904528.0,489367.0000,,1836203.0000,,728536704.0,8980835.0000,,597259200.0,39408876.0000,101482.0000,2197317.0000,4166372.0,6268415.0,254039184.0,82111.0000,204243.0000,2756750.0,,,694296.0000,2630146.0,,879776.0,5637698.0000,1093472.0000,2332179.0,740782.0000,3320379.0000,2868423.0000,16323641.0,7708536.0000,20727164.0,2315911.0000,45628392.0,364726.0000,404976.0000,,,,2353087.0000,146004.0000,4999224.0000,2372946.0000,1660463.0,189593.0000,4591830.0,634215872.0,2097588224.0,657607872.0,440366336.0,318588.0000,679613440.0,636886016.0,391944576.0,1262355456.0,234259424.0,577703936.0,1142625408.0,453105824.0,678842432.0,620275008.0,9729207.0,5443176.0,25248584.0,,1798297.0,19031208.0000,3109898.0000,69793456.0,230370.0000,7611654.0000,514861.0000,4756656.0000,455160.0000,,450748.0000,2728739.0,3703305.0,1108042.0000,670989.0000,100187712.0000,313726.0,2285003.0000,,64786364.0,22577436.0,135554.0000,802411.0000,482261.0000,2978913.0,5579540.0000,427002.0000,237663.0000,,,,3481732.0,1100201.0000
Ulcerative Colitis,,42673208.0,81779.0000,3246161.0,2953059.0000,,,373164.0000,458842.0,147661.0000,4117795.0,3376506.0,1176188.0000,,1134857472.0,583854.0000,352996.0,121573392.0,3538538.0,21388348.0,10473921.0000,6945561.0,146890784.0,1662320.0000,960275.0000,725832.0,41452592.0,380222.0000,85258184.0,,290911.0000,139879.0000,14910681.0,115680336.0,20625068.0,838926.0,3420732.0,14170764.0,561585.0000,,2944728.0,991814.0,862827.0,161449.0000,1176024.0,,,1004283.0000,,618605312.0,11227292.0000,20953276.0000,469049504.0,22111354.0000,,524730.0000,2738382.0,298063.0,193906720.0,,143597.0000,1399289.0,,608485760.0000,1210497.0000,727623.0,,194598.0,3241227.0000,299039.0000,1455420.0,,3204732.0000,1167038.0000,2683514.0,3069201.0000,16837926.0,1905350.0000,7181316.0,,367731.0000,,,,395821.0000,89619.0000,8394079.0000,3323578.0000,11877525.0,,1656955.0,248192160.0,2014294016.0,399467456.0,197688304.0,245476.0000,407475872.0,72046352.0,196009952.0,772677888.0,126315792.0,555264960.0,604135936.0,177620240.0,359010720.0,356329600.0,1144970.0,1699774.0,11313164.0,260849.0000,654023.0,15916914.0000,,32919878.0,341592.0000,,652086.0000,1405578.0000,264426.0000,,195854.0000,798775.0,1131880.0,285934.0000,77949.0000,65455184.0000,415389.0,574688.0000,,25284720.0,4222300.0,,217879.0000,,3042655.0,3706746.0000,,,,,140750.0000,1153066.0,451950.0000
Ulcerative Colitis,46065.0000,247353360.0,50537.0000,997693.0,1170110.0000,,,488002.0000,517404.0,,12694455.0,1505535.0,1529588.0000,159935.0000,1492755968.0,,502351.0,123368816.0,2400370.0,16341988.0,45039508.0000,7745852.0,271024928.0,,,573832.0,49223220.0,1321143.0000,92137352.0,,362576.0000,74894.0000,29000436.0,222304000.0,19842534.0,2319379.0,2774332.0,20816884.0,94197.0000,,2440881.0,790604.0,3300558.0,,877329.0,,,,314781.0000,575376896.0,3548966.0000,,601069504.0,21275052.0000,,1129257.0000,3085432.0,240293.0,106128328.0,,,1155468.0,,,6915503.0000,2155759.0,,69887.0,1988268.0000,313202.0000,1292813.0,,,1201575.0000,4747211.0,2784371.0000,10775520.0,4944775.0000,11683182.0,440016.0000,12347629.0000,,,,4405413.0000,,11306593.0000,4901568.0000,37292724.0,257721.0000,6027086.0,523804704.0,1894119168.0,393426112.0,188078096.0,295030.0000,812485696.0,178616704.0,188926768.0,878073344.0,179062784.0,522996160.0,1115515008.0,268757600.0,534704128.0,656137344.0,7979855.0,3731056.0,10701013.0,,931172.0,16132265.0000,1217770.0000,24535308.0,780098.0000,8343991.0000,991616.0000,2844096.0000,324544.0000,,140149.0000,2864929.0,2963067.0,356715.0000,189313.0000,53057012.0000,336063.0,576902.0000,,22855412.0,7671599.0,,274661.0000,,6680177.0,,408310.0000,,,,837058.0000,3321534.0,836867.0000
Ulcerative Colitis,,142549344.0,89533.0000,3408157.0,5188429.0000,,,525378.0000,938931.0,208945.0000,9543047.0,6453435.0,1410333.0000,219616.0000,1483694208.0,1046310.0000,632539.0,165143120.0,5776137.0,637769.0,336503648.0000,9219711.0,235978672.0,3072467.0000,1107244.0000,1781011.0,59483496.0,35014.0000,80178312.0,,427187.0000,79311.0000,28561906.0,70379224.0,20684580.0,1985343.0,3530641.0,26067288.0,115251.0000,326457.0000,5031380.0,1716658.0,1079717.0,324421.0000,1034317.0,224745.0000,,1399554.0000,403661.0000,512866176.0,10858702.0000,,375862336.0,,,250054.0000,3097707.0,356704.0,161227488.0,,1059556.0000,2790946.0,,,1644603.0000,1191549.0,,279731.0,19095154.0000,185145.0000,2226234.0,301315.0000,,1023857.0000,5502976.0,2405535.0000,20537402.0,2257667.0000,15999092.0,314272.0000,4372185.0000,,,,1184130.0000,297033.0000,273029.0000,65434280.0000,3470411.0,,1862323.0,302955360.0,2138494592.0,467058048.0,224395920.0,369733.0000,545095936.0,153336192.0,264703648.0,881259328.0,243310608.0,507624480.0,713709312.0,326953984.0,508113152.0,626361216.0,1675657.0,2970018.0,28861500.0,,1356339.0,26453884.0000,1274089.0000,26508024.0,,9142549.0000,,2350712.0000,340329.0000,,449226.0000,1965436.0,1411046.0,1273957.0000,294115.0000,102880648.0000,743992.0,1015568.0000,,21613314.0,6881658.0,,469552.0000,775342.0000,1079569.0,7702655.0000,,,218872.0000,,207893.0000,1581282.0,886008.0000
healthy,75869.0000,240495408.0,105129.0000,2924145.0,1756190.0000,188647.0000,,795094.0000,659215.0,214486.0000,6838989.0,4831937.0,2298576.0000,281722.0000,1222489216.0,457300.0000,875878.0,171289760.0,4857311.0,28283680.0,1545802880.0000,14285110.0,332152064.0,35786824.0000,1585114.0000,2268893.0,68231560.0,142108.0000,181388048.0,,897424.0000,173841.0000,49437032.0,201258448.0,86846832.0,2368609.0,4046610.0,21043552.0,134075.0000,667797.0000,7349865.0,1172838.0,1852684.0,395853.0000,1835205.0,275160.0000,,1307327.0000,574886.0000,705776960.0,18243804.0000,,826146304.0,7229785.0000,115214.0000,3132384.0000,3406411.0,2905810.0,321521856.0,,219633.0000,3669164.0,,,33400316.0000,2348819.0,,461922.0,5772151.0000,610657.0000,2187539.0,362698.0000,,2032656.0000,5873592.0,6718774.0000,25627576.0,2074162.0000,145957168.0,978393.0000,6333082.0000,,189411.0000,,1114445.0000,513047.0000,3161895.0000,111601512.0000,59053512.0,215428.0000,8848339.0,676233280.0,2640431360.0,554657216.0,271419168.0,200840.0000,688574016.0,135609776.0,266776016.0,1087953536.0,181402240.0,618818688.0,1033567936.0,326413856.0,544657152.0,565224576.0,2918837.0,2080412.0,18166958.0,546834.0000,1671499.0,49879376.0000,1661564.0000,77304960.0,311853.0000,13217532.0000,3170005.0000,3368277.0000,679298.0000,,399746.0000,2550802.0,6829651.0,1104670.0000,471597.0000,211566096.0000,740094.0,2172334.0000,,19680768.0,10768959.0,,778540.0000,,6236582.0,4122545.0000,439098.0000,,512598.0000,,1832286.0000,3092202.0,1323678.0000
Ulcerative Colitis,,294626080.0,103918.0000,1337353.0,4229185.0000,139085.0000,,1182438.0000,730642.0,,10801387.0,10887443.0,,193595.0000,1893116160.0,,950841.0,215054720.0,4772404.0,7754003.0,20935324.0000,15182449.0,300345696.0,13154852.0000,,721026.0,72651984.0,1126948.0000,107616888.0,,422700.0000,169624.0000,60009648.0,228506816.0,27840140.0,2492377.0,3815567.0,34402776.0,74151.0000,,8720247.0,1124249.0,2500386.0,146226.0000,874990.0,289309.0000,,,139111.0000,807732288.0,,,703837888.0,1475015.0000,,1115199.0000,4342250.0,1064916.0,276980672.0,,,1687713.0,,,7633705.0000,2728379.0,,363090.0,2684604.0000,425278.0000,1367473.0,241035.0000,135267.0000,2534206.0000,6793500.0,5263655.0000,22187086.0,672269.0000,7972092.0,,6093160.0000,,,,1803556.0000,334190.0000,3372794.0000,2260457.0000,1011746.0,374355.0000,8313236.0,749897344.0,2545256192.0,726813888.0,252297344.0,338914.0000,769718912.0,171285936.0,405066400.0,1138997504.0,227480096.0,670063552.0,1253507072.0,528209408.0,635633280.0,694020352.0,10147810.0,3520763.0,27600128.0,,1902918.0,40586780.0000,,36741572.0,270517.0000,6093804.0000,1274091.0000,1890147.0000,648261.0000,,851169.0000,3622694.0,8132078.0,1006800.0000,474200.0000,123341192.0000,604256.0,3224708.0000,,44932504.0,2737037.0,,,,4723963.0,2365072.0000,552961.0000,,,,,3691364.0,543374.0000
Ulcerative Colitis,,74437136.0,470616.0000,4820144.0,3011167.0000,,1580420.0000,660538.0000,407835.0,,5964710.0,4558803.0,,470807.0000,1460148608.0,350843.0000,431207.0,178957744.0,5079048.0,10463381.0,12783433.0000,6934849.0,291909344.0,32805562.0000,638247.0000,2522881.0,51606512.0,2314085.0000,192556944.0,,587891.0000,,20110736.0,226736608.0,30733712.0,1145451.0,3552239.0,13428611.0,84976.0000,,2178675.0,689797.0,1279105.0,153869.0000,2343119.0,,,647847.0000,383294.0000,641123456.0,9139485.0000,6848959.0000,313043456.0,92198656.0000,,1773155.0000,3280415.0,1935190.0,252190064.0,,,1479365.0,,118258080.0000,207365.0000,1021377.0,,510123.0,3231159.0000,563637.0000,886538.0,,,642294.0000,3396299.0,2583207.0000,16733496.0,2565150.0000,7178704.0,953149.0000,354250.0000,,,,1222739.0000,,10384865.0000,5493729.0000,181874496.0,,3063870.0,582901696.0,1909415168.0,442364896.0,228441312.0,315176.0000,499037952.0,106125376.0,271246912.0,897653504.0,116199256.0,639015424.0,733281088.0,390132608.0,456971936.0,453909984.0,2690801.0,2205565.0,14248578.0,338933.0000,929258.0,13097454.0000,1468129.0000,37610448.0,334349.0000,7432127.0000,854248.0000,1838719.0000,287822.0000,,,1331016.0,1890833.0,225078.0000,398300.0000,61564460.0000,585800.0,1121756.0000,5672271.0000,51090472.0,3195666.0,,432739.0000,,3660190.0,2869798.0000,350452.0000,,,,,2411684.0,1026926.0000
Ulcerative Colitis,78641.0000,251932256.0,72058.0000,3565106.0,2747516.0000,,,483032.0000,783429.0,,9254573.0,6814240.0,,210990.0000,1200490752.0,707585.0000,448332.0,181180640.0,5629937.0,12067364.0,1761143.0000,18500946.0,647058688.0,11513726.0000,,1780438.0,61925572.0,,175507840.0,,857130.0000,144548.0000,18422892.0,58479484.0,17957654.0,2488711.0,2928905.0,22018628.0,272043.0000,,2453280.0,1040531.0,7257232.0,252680.0000,1754536.0,1318779.0000,,,998419.0000,601801728.0,,13454737.0000,332149888.0,2981632.0000,,743236.0000,3834094.0,271438.0,193168416.0,,,984423.0,,150717680.0000,907513.0000,6060038.0,,102373.0,2642700.0000,378798.0000,1824679.0,,8022896.0000,,2160534.0,1682470.0000,19053000.0,,63348216.0,,20970212.0000,,,,7433299.0000,,1657907.0000,1675956.0000,1770866.0,799975.0000,3797976.0,369719456.0,2215192832.0,386558144.0,250581296.0,548478.0000,1146120320.0,69899344.0,178140224.0,1040943296.0,101021904.0,569280832.0,1636188416.0,242039680.0,434014048.0,963022016.0,3347328.0,3289795.0,27459378.0,395127.0000,445692.0,25344414.0000,1755368.0000,20911578.0,,11831148.0000,1088544.0000,3184237.0000,,,245011.0000,899481.0,1436843.0,,,96933888.0000,379039.0,1009882.0000,,42951344.0,11038952.0,,557343.0000,,3298050.0,2325247.0000,,,112374.0000,,,1075964.0,588802.0000
Ulcerative Colitis,,311775520.0,66614.0000,649707.0,4344839.0000,134098.0000,,568613.0000,608818.0,156106.0000,6652884.0,4041971.0,,450211.0000,1136026240.0,,708307.0,77801376.0,4252907.0,9281197.0,91305648.0000,17447096.0,179688448.0,2739586.0000,1066170.0000,1240997.0,63387616.0,451785.0000,90746728.0,,1813488.0000,105397.0000,34084648.0,196946864.0,51283440.0,2425741.0,4423924.0,15925202.0,113778.0000,,12206731.0,1181109.0,780077.0,171745.0000,2111593.0,6467782.0000,,815141.0000,313542.0000,747184128.0,5111249.0000,,582171584.0,157287536.0000,135670.0000,741058.0000,3245149.0,305115.0,293752768.0,,,2627091.0,,,,1134807.0,,814277.0,8459448.0000,305233.0000,2356624.0,253429.0000,,1298652.0000,10651575.0,2467548.0000,21369376.0,2753203.0000,28674484.0,322330.0000,889516.0000,,,,2757194.0000,234284.0000,12142471.0000,6371077.0000,63836192.0,,5019666.0,418070848.0,3327663360.0,475375552.0,195626576.0,449517.0000,620192448.0,374002176.0,306200352.0,808661312.0,118235808.0,719983552.0,987021312.0,866175424.0,536630784.0,351419392.0,3646818.0,2513152.0,23075786.0,565263.0000,1594974.0,25645194.0000,1692298.0000,46885084.0,628743.0000,7184382.0000,2358033.0000,3312374.0000,417926.0000,,1351456.0000,1390100.0,2862316.0,549455.0000,296646.0000,199172032.0000,738808.0,2847490.0000,348334.0000,19640984.0,2196146.0,112615.0000,330556.0000,,4179538.0,4147931.0000,468501.0000,,,,4083690.0000,2646772.0,658246.0000
Ulcerative Colitis,,182948464.0,117537.0000,796938.0,2360922.0000,155843.0000,,372416.0000,250257.0,,6644894.0,3778350.0,1717459.0000,210522.0000,1767496320.0,390037.0000,537953.0,176284640.0,4191358.0,20085528.0,227961776.0000,16639120.0,372193664.0,15344351.0000,691349.0000,1689948.0,60680572.0,1430419.0000,143697376.0,,427109.0000,,37212656.0,329334048.0,35724480.0,1518609.0,3720060.0,8110314.0,77867.0000,,5252526.0,866489.0,1454756.0,301656.0000,1977041.0,373972.0000,,,327975.0000,509224768.0,,,521156896.0,,,584749.0000,2955594.0,1031850.0,271781312.0,,,519211.0,,,792344.0000,1322609.0,,188041.0,2035975.0000,291614.0000,1999627.0,693929.0000,,831728.0000,20669154.0,3790214.0000,22222350.0,697484.0000,27780950.0,,3820546.0000,,180071.0000,,557179.0000,274318.0000,,22801888.0000,564253.0,167735.0000,5743386.0,654959360.0,2426763264.0,547930816.0,372854752.0,218951.0000,611324608.0,196343424.0,250262688.0,967694464.0,177777568.0,535037248.0,906496576.0,380409600.0,486175424.0,357996288.0,6183773.0,2908030.0,13575555.0,,1334029.0,31300730.0000,1030446.0000,75078456.0,,14660845.0000,834099.0000,3729041.0000,,,322587.0000,2726888.0,5736985.0,643389.0000,345579.0000,145567040.0000,626609.0,1893989.0000,,21880920.0,6081664.0,39480.0000,405767.0000,,4894412.0,2444975.0000,,,578203.0000,,,1882666.0,607527.0000
healthy,,454820736.0,58262.0000,1525707.0,3256452.0000,72781.0000,,904958.0000,569880.0,130946.0000,14001094.0,2615861.0,1149895.0000,207958.0000,1850115072.0,455642.0000,1106500.0,196602304.0,5368266.0,14733388.0,103166032.0000,19971650.0,263872304.0,4057193.0000,1403805.0000,2336044.0,65942764.0,79578.0000,179912944.0,,794350.0000,96577.0000,32128038.0,49018528.0,70396688.0,2515460.0,4543104.0,22179296.0,134952.0000,,5433177.0,1225596.0,2169690.0,267702.0000,1890125.0,3436196.0000,,1276533.0000,509826.0000,795236800.0,,,566207680.0,8942710.0000,,2703684.0000,3354178.0,3207399.0,328674304.0,,,3301881.0,,,1332086.0000,1712099.0,,572169.0,1459242.0000,524198.0000,2258767.0,249620.0000,397774.0000,2710299.0000,11183060.0,5281312.0000,18860636.0,777346.0000,122691120.0,340661.0000,6010321.0000,,51542.0000,,2534482.0000,425281.0000,4089303.0000,10511911.0000,827971.0,160638.0000,6369661.0,587753344.0,3065271552.0,641901120.0,334200288.0,157989.0000,769534400.0,304447584.0,330219424.0,1260283904.0,250607248.0,715045120.0,1317950464.0,479263808.0,663186368.0,674700672.0,9561867.0,2607401.0,15250769.0,432157.0000,1439488.0,16208036.0000,3799573.0000,49740368.0,241725.0000,4322662.0000,1203704.0000,5723949.0000,607684.0000,,220865.0000,1562698.0,11253264.0,647163.0000,388343.0000,130526704.0000,323800.0,1824776.0000,,48690612.0,11006299.0,,560442.0000,,4786455.0,2626685.0000,441916.0000,,93566.0000,,,1348906.0,1421004.0000
healthy,,506656096.0,92869.0000,3556844.0,2024631.0000,,,843557.0000,861342.0,244440.0000,12671215.0,2349500.0,1309609.0000,,1441677824.0,472934.0000,794198.0,177081616.0,4264094.0,28921736.0,35087804.0000,13934927.0,391289056.0,13664586.0000,,1588529.0,74164552.0,96385.0000,180346576.0,,847337.0000,,35508596.0,45098084.0,23917366.0,2734358.0,4753615.0,22455250.0,176844.0000,595851.0000,6114238.0,1642618.0,2770800.0,420980.0000,1609580.0,2129557.0000,,1317187.0000,439917.0000,773284864.0,6335228.0000,,410934048.0,12179138.0000,,1073726.0000,2710566.0,2571291.0,261452032.0,,176813.0000,2238385.0,,,1229867.0000,2285606.0,,518055.0,3176404.0000,483500.0000,1682664.0,456558.0000,91419.0000,1901465.0000,6176222.0,3990519.0000,20236396.0,1097930.0000,15134034.0,395604.0000,8910214.0000,,83614.0000,,6109444.0000,557609.0000,2741479.0000,2800875.0000,7766993.0,349989.0000,4666356.0,560711360.0,2210905600.0,692127488.0,334003040.0,202195.0000,785583488.0,270925440.0,293704128.0,996261056.0,203760464.0,568278912.0,1098420736.0,363968800.0,507656896.0,665516544.0,11550170.0,2377779.0,48770068.0,,1423488.0,13918683.0000,2348575.0000,66878608.0,242192.0000,7901911.0000,1263358.0000,3754343.0000,385450.0000,,184420.0000,2093332.0,8587734.0,695657.0000,306299.0000,125320024.0000,416985.0,1739209.0000,,34262708.0,10993864.0,,524931.0000,,4919635.0,1785917.0000,399489.0000,,257790.0000,,190359.0000,1297547.0,578700.0000
healthy,,333500416.0,259645.0000,3968599.0,3146534.0000,,11737633.0000,752735.0000,464556.0,46540.0000,5253157.0,4289211.0,811681.0000,435751.0000,1060416128.0,419317.0000,452472.0,212966368.0,3915305.0,24658882.0,370348256.0000,11464564.0,201905536.0,9432237.0000,,2343882.0,51342408.0,,125695184.0,,928057.0000,,26050792.0,49632904.0,30853894.0,817147.0,3374639.0,15610640.0,,,3490153.0,654636.0,1234926.0,326320.0000,1930942.0,533143.0000,,,284964.0000,598311808.0,189830.0000,37456508.0000,523709056.0,,,4398153.0000,3163511.0,1586109.0,166971856.0,,147036.0000,2417713.0,,258316272.0000,3494666.0000,1301124.0,,564405.0,842024.0000,465774.0000,1984203.0,663403.0000,,2637370.0000,3734061.0,2438794.0000,16288757.0,1241766.0000,6575229.0,274288.0000,6541885.0000,,85860.0000,,3890241.0000,230383.0000,176074.0000,28614792.0000,10008738.0,234407.0000,5941488.0,551788224.0,1503679872.0,380607456.0,213178448.0,153618.0000,427826560.0,193111280.0,167022720.0,893289024.0,132998688.0,534214336.0,584399104.0,207947360.0,294269216.0,295567392.0,6728361.0,1914450.0,9487999.0,436654.0000,758213.0,38430864.0000,872893.0000,32415400.0,,12125785.0000,1847241.0000,,325261.0000,,245449.0000,1677937.0,5586049.0,346983.0000,385711.0000,117401920.0000,975187.0,1977492.0000,44661696.0000,29031164.0,16741324.0,,341840.0000,,3985969.0,2601395.0000,452188.0000,1377923.0000,279000.0000,235716.0000,,989405.0,399137.0000
